gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,nlog10,color,shape
AT1G01010,35.48574581017898,0.30873068795590974,0.5129771373702966,0.6018410285077677,0.5472799616124762,0.9996587219459798,NAC001,0.00014824047270472056,nobody_cares,not_important
AT1G01020,167.66835729495946,0.06384327482758007,0.264233810629177,0.24161659961516835,0.8090772584958056,0.9996587219459798,ARV1,0.00014824047270472056,nobody_cares,not_important
AT1G01030,11.64146984800823,0.6635981515112365,0.828275720577632,0.8011802531751735,0.4230273013056234,0.9936442567730717,NGA3,0.0027690733226007356,nobody_cares,not_important
AT1G01040,312.7595913783657,0.04611804131693354,0.22740173124338445,0.20280426654964265,0.8392880230126925,0.9996587219459798,DCL1,0.00014824047270472056,nobody_cares,not_important
AT1G01050,467.5770580578521,0.09482780669615636,0.20045304691732885,0.4730674247883365,0.6361650763524399,0.9996587219459798,PPa1,0.00014824047270472056,nobody_cares,not_important
AT1G01060,121.16910634698877,1.2271363828684736,0.8413405381496951,1.4585489789511796,0.14468928508694462,0.8512391827897543,LHY,0.06994839388628725,nobody_cares,not_important
AT1G01070,48.71993861206573,0.0038524045140629327,0.42053445236435666,0.009160734613784171,0.9926908935150816,0.9996587219459798,UMAMIT28,0.00014824047270472056,nobody_cares,not_important
AT1G01080,23.659011805852607,-0.37397513136865973,0.619110908583714,-0.6040519173279792,0.545809125667964,0.9996587219459798,AT1G01080,0.00014824047270472056,nobody_cares,not_important
AT1G01090,1144.583161129512,0.09291601009674731,0.2044880842338314,0.4543834935169043,0.649552830818136,0.9996587219459798,PDH-E1 ALPHA,0.00014824047270472056,nobody_cares,not_important
AT1G01100,7757.0375439180425,0.04621044768924929,0.19896065892594483,0.23225922118829173,0.816336683214075,0.9996587219459798,AT1G01100,0.00014824047270472056,nobody_cares,not_important
AT1G01110,69.96119376199727,-0.3226703938419524,0.3291738910771491,-0.980242973663812,0.3269661965223388,0.9822368629692138,IQD18,0.00778377099478415,nobody_cares,not_important
AT1G01120,794.5017360606016,0.04626214826350164,0.6084300652246486,0.07603527653818426,0.9393910328020684,0.9996587219459798,KCS1,0.00014824047270472056,nobody_cares,not_important
AT1G01130,18.9756393413273,-0.8481076902594337,0.5934671284951891,-1.429072731306817,0.1529833301138487,0.8588305084190808,AT1G01130,0.06609253642637958,nobody_cares,not_important
AT1G01140,26.153738679549917,-0.26422391085990754,0.5730821370283399,-0.4610576630952314,0.6447572352577213,0.9996587219459798,CIPK9,0.00014824047270472056,nobody_cares,not_important
AT1G01160,316.64768894458166,0.008086108388138077,0.22663726609997598,0.03567863541281455,0.9715386061748192,0.9996587219459798,GIF2,0.00014824047270472056,nobody_cares,not_important
AT1G01170,90.82598005892523,-0.7690740400634698,0.4265195222695185,-1.8031391294147856,0.07136636724789146,0.6935375429906548,AT1G01170,0.15893002446472762,nobody_cares,not_important
AT1G01180,67.07827308783811,-0.1323520672214621,0.35588618685811035,-0.37189436429076705,0.7099715013267738,0.9996587219459798,AT1G01180,0.00014824047270472056,nobody_cares,not_important
AT1G01190,125.88146880303691,0.24246757695096646,0.392886257955863,0.6171444585832405,0.5371394464363728,0.9996587219459798,CYP78A8,0.00014824047270472056,nobody_cares,not_important
AT1G01200,23.91009643580368,1.467420153954358,0.5423271579678473,2.705784013201412,0.006814335042386244,0.23353112377435564,RABA3,0.6316552308036942,nobody_cares,not_important
AT1G01210,39.51204392274932,0.22101842178026088,0.49910294088628504,0.4428313353309161,0.6578877362913927,0.9996587219459798,AT1G01210,0.00014824047270472056,nobody_cares,not_important
AT1G01220,63.72751972495507,-0.07124135717723658,0.4681373228860472,-0.15218046862411347,0.8790445983133256,0.9996587219459798,FKGP,0.00014824047270472056,nobody_cares,not_important
AT1G01225,38.529812947841435,0.45765941401827476,0.4403501757980954,1.039307894424722,0.29866156449177783,0.9721669887068705,AT1G01225,0.012259130089139628,nobody_cares,not_important
AT1G01230,213.6467545148024,0.13276977444964766,0.2836724177399598,0.46803906952757257,0.6397566505179701,0.9996587219459798,AT1G01230,0.00014824047270472056,nobody_cares,not_important
AT1G01240,402.7798644395407,-0.3584698190437645,0.2705902187912587,-1.3247700550488068,0.1852474296078238,0.8967054331786538,AT1G01240,0.04735019882323589,nobody_cares,not_important
AT1G01260,46.410595683690715,0.8200441439855395,0.445491932041828,1.8407609319141252,0.06565660032682431,0.6722002346950565,AT1G01260,0.17250134023495822,nobody_cares,not_important
AT1G01290,82.40196068981885,0.1232776115164752,0.3616012663331981,0.3409214043041565,0.7331627507809899,0.9996587219459798,CNX3,0.00014824047270472056,nobody_cares,not_important
AT1G01300,170.27178942352407,0.07226001832941382,0.3122560353473214,0.23141271953011008,0.8169941845664975,0.9996587219459798,AT1G01300,0.00014824047270472056,nobody_cares,not_important
AT1G01320,129.9414883222894,-0.6051793061071119,0.32477568428895265,-1.8633762790218138,0.06240934499909416,0.6622721785846134,AT1G01320,0.17896348886216906,nobody_cares,not_important
AT1G01340,101.73474071114953,-0.3975087592851814,0.3293399733727087,-1.2069860673588118,0.22743750967275878,0.9326889426688106,CNGC10,0.030263171909157602,nobody_cares,not_important
AT1G01350,150.4440831736224,0.12485031629660334,0.2792114009919236,0.4471533606903636,0.65476433347478,0.9996587219459798,AT1G01350,0.00014824047270472056,nobody_cares,not_important
AT1G01360,113.54298379263084,0.09734390887428179,0.39470093589436306,0.24662700293250564,0.8051969046335938,0.9996587219459798,RCAR1,0.00014824047270472056,nobody_cares,not_important
AT1G01370,55.833447577538486,0.2294870904037313,0.3980391507112378,0.576544015817719,0.5642475276040487,0.9996587219459798,HTR12,0.00014824047270472056,nobody_cares,not_important
AT1G01380,20.88319843090466,0.0017215920191608351,0.6874059742388146,0.0025044763701205916,0.9980017190603889,0.9996587219459798,ETC1,0.00014824047270472056,nobody_cares,not_important
AT1G01420,29.74913640352466,0.5355191486412797,0.5661718064840567,0.9458597946917723,0.34422010248435075,0.9843602129257405,UGT72B3,0.006845948459691555,nobody_cares,not_important
AT1G01430,201.37068759963722,0.4150807532113377,0.2704346813971805,1.534865095951651,0.12481696878210606,0.8212427690896954,TBL25,0.08552844130829006,nobody_cares,not_important
AT1G01440,46.59049250869508,-0.04073666302057899,0.4020611564864883,-0.10131956883516546,0.9192967824453544,0.9996587219459798,AT1G01440,0.00014824047270472056,nobody_cares,not_important
AT1G01448,27.268574662455336,-0.14912191256224086,0.5384507217202695,-0.2769462581196263,0.7818213723626145,0.9996587219459798,AT1G01448,0.00014824047270472056,nobody_cares,not_important
AT1G01453,57.819084426858254,0.8813518916079769,0.3971496541206268,2.219193400934658,0.026473569835445843,0.4733221359841516,AT1G01453,0.3248431842897376,nobody_cares,picked4
AT1G01470,861.8008569039389,-0.19661884362189594,0.2539812667083634,-0.7741470312756,0.4388438477060843,0.9936442567730717,LEA14,0.0027690733226007356,nobody_cares,not_important
AT1G01480,38.62295111833726,0.71657085029862,0.5262314895533373,1.3617027192858446,0.17329172274648819,0.885755699087644,ACS2,0.052686044668673826,nobody_cares,not_important
AT1G01490,1177.5711865553508,0.420694139575187,0.21563541708109715,1.9509510323945087,0.051062871110679434,0.6148491216445288,AT1G01490,0.21123144304776786,nobody_cares,picked4
AT1G01500,110.0882357862269,0.07379847671369667,0.3633464866851604,0.20310772064143562,0.8390508373046727,0.9996587219459798,AT1G01500,0.00014824047270472056,nobody_cares,not_important
AT1G01510,339.25362921664396,-0.000961980550076249,0.26835164322995386,-0.0035847760740258107,0.997139768642558,0.9996587219459798,AN,0.00014824047270472056,nobody_cares,not_important
AT1G01540,148.61816993988603,0.1288655110534191,0.25729246000550376,0.5008522638038538,0.6164751002992095,0.9996587219459798,AT1G01540,0.00014824047270472056,nobody_cares,not_important
AT1G01550,776.2096937414806,-0.28379525292287494,0.19431909762133126,-1.460459915658447,0.14416371632780312,0.8501079038317072,BPS1,0.07052594597456424,nobody_cares,not_important
